Dog_Number,Total_Complains,hash_binary
8495,2,6D233C1F62C942126293B6C7045CF30D813E9170366A46996EF87C6FC427C3F9
4413,3,EC534EB93F3216754A1A07108C16B45362575B65D2E3F668668415996CEAE0B5
8142,6,6D0A801F0B0887B90D86F606B94442924EB40444A356BED5A4E45E24BD29119F
3614,2,79EFCF0CACEE4863FAD248605536297291FA6644DCDA742BA343B901C8C5C2B7
7140,8,7BA2B7C2D2B2F173666442C126B06A7CEB03F247BC71A9C1F85A0E06C832768F
1696,2,4DFFEC4BED7182FB00563F169BA8DAFBC75E16F163E1BB954C20968000204CEC
7827,3,4AEA1767993F9DEA014ACC5BA44EE77B66F24DBF91032A6D5FA376CEDF9D2BD2
2638,1,1A1D521BA096167843E8E507981354956CB28FA27D011993585C7CA8E7625A7B
4832,1,01E2AD16BF17DAB33E89409EDAF6B6E24CF913BF0EF3F416FD134633DA8B2BD8
7897,2,1CAE73AC23FB254025CF34F62FAC4E4C9B3A9C92D88597B692E5D343C9B113E3
8450,1,5BF3DD58A0B3DC7DAA8E8A1C3541EEF0C09706893073A6F0B08A0F0A1E3B12A9
8449,1,9BBDDE2E033EDD6E24C247934EC2C1DD8B1FE4C8954FBCD6612EDE39F8F27C45
6525,3,CD657F9CA19FA7ACFB976EAC2B372BF90C17F9CA2E3C3B34EE9823AE4BF6D344
8488,13,C75F856DF9189BD9829EF10359306B0E4A36AC4EACAD1A8AE0496F86CF2B1655
5791,1,AC4F74994963F94256D12AA600FC91F0EC3FDA9FD1B63925BF1C88458F695BC8
779,1,BB7BFDFA5C9302D07F02F0EF09022030ADBBFF2DC22861B76F6A0FA798FD90FC
8116,2,32488F27671B10479833D32681198E891E8706E7FDBD11FE64DD38357CB6BC5F
8258,1,E52A3B62AA3FCDC0BEAB47885DCD455E6BC18253BA58145F19C00C54724DD96F
8067,4,38B0BD9EBF4F08AA06F7688E46CB30148D15530BAA968710E40CBBC2D7101892
6846,6,067E0DC78F69C660CAED958D1EBF8A495682EA0843E4DFC74151E2F375D6AC46
7969,3,059EACB653DBEE6FE24165E24A49600B4C439A575F0BBD862E95A3FB028FED9C
8220,1,699836E1B81F1C825106B6ADE0A3E9A1786681DAFA1AE89EE147DFB99EB93E24
3481,1,9D581CCF2D0B636BA750AB164E3962E229E28974346EF1FD097BEF66D37E78C8
7201,1,EB79BE9971F4E74AED602EA0AF931DEBC7807E8ABF16C1604AB6827EF0C6959D
8669,4,926E97DFD5154440EAB8CDB9AE243C2B24CD03AD7DE3C578C2993ABBCDF7361E
6639,1,853CECBF3D0F5E677F8BCAE4F898C35F84801D8AB0A78D0E6D4062A868555E71
7541,1,24681EB1A290F623DB7110D7592AFCBD3991C15C8C101053F3FD459E160D72E7
7471,1,FDC3EF27A05C8E162C4E1D85799B4E22EA14C0F4CBD7BCE3CF7A51D3ED3B3647
8102,1,FE3EA375DE8E54BC2B956904F91BE76BEA1A1EFCFB07141AFEDD4C0A0AF7589D
6561,5,CB52B9C5D6969CB2A51B13EA550D7CFA4281F2E679B9365FBEB3455CF09EC24E
8907,11,FDBFD26769F88A2CD006CB69691F2334921BBA1AB2D50C5EFA58A6CC5AA3AA5F
8961,3,C2A856737FBE3311B999FA38543F32F3DFB4E24110140F3B6D0D7CC60C7128A2
2036,4,08EE41B0FC9C8A40E2D1107E9BE8583405E903C585FDC169D0A76836A95B62E3
